model,params,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,top_1pct,133,0.009984984984984985,0.6266877839599251,27035.563909774435,11090.0,276510,0.3007518796992481,0.15037593984962405,0.06015037593984962,0.15037593984962405
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,top_3pct,399,0.029954954954954954,0.5765894383327027,30015.614035087718,10970.0,778840,0.2531328320802005,0.15037593984962405,0.05513784461152882,0.15037593984962405
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,top_5pct,666,0.05,0.5436137256411546,27913.243243243243,9595.0,778840,0.24174174174174173,0.14714714714714713,0.04804804804804805,0.14714714714714713
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,top_10pct,1332,0.1,0.47609066651348125,25691.644144144146,7960.0,778840,0.2012012012012012,0.12837837837837837,0.05105105105105105,0.12837837837837837
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,score>=0.35,1475,0.11073573573573574,0.464423401361632,24434.277966101694,7640.0,778840,0.18983050847457628,0.12067796610169491,0.0488135593220339,0.12067796610169491
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,score>=0.40,1029,0.07725225225225225,0.5047215098396232,26979.504373177842,8860.0,778840,0.2118561710398445,0.13702623906705538,0.052478134110787174,0.13702623906705538
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,score>=0.45,754,0.05660660660660661,0.5337585655707321,27798.607427055704,9385.0,778840,0.23607427055702918,0.14456233421750664,0.05172413793103448,0.14456233421750664
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,score>=0.50,498,0.03738738738738739,0.5638135593101953,29624.09638554217,10685.0,778840,0.25502008032128515,0.15261044176706828,0.05220883534136546,0.15261044176706828
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,ALL,13320,1.0,0.32585409330819975,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_3,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': None}",0.6252373900797575,top_1pct,133,0.009984984984984985,0.6980207281922395,29484.51127819549,14900.0,327530,0.3082706766917293,0.15037593984962405,0.06015037593984962,0.15037593984962405
