rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_100_500_race>=0.55_score>=0.4_expected>=3000_top5_by_ticket_score,571,2784,4.8756567425569175,278400,302750,24350,1.0874640804597702,1.032471264367816,26,0.009339080459770116,0.04553415061295972,0.635661685353466,0.5502825174254746,0.5097808771485176,0.4002496807822298,121.72040229885057,115.0,6174.011083275458,15310,0.05056977704376548,0.30623376623376625,0.9783037804608451,6,3,True
odds_100_1000_race>=0.55_score>=0.4_expected>=3000_top5_by_ticket_score,571,2784,4.8756567425569175,278400,302750,24350,1.0874640804597702,1.032471264367816,26,0.009339080459770116,0.04553415061295972,0.635661685353466,0.5502825174254746,0.5097808771485176,0.4002496807822298,121.72040229885057,115.0,6174.011083275458,15310,0.05056977704376548,0.30623376623376625,0.9783037804608451,6,3,True
odds_100_500_race>=0.4_score>=0.4_expected>=5000_top5_by_expected_return,1400,6608,4.72,660800,702360,41560,1.0628934624697337,1.0312802663438256,44,0.006658595641646489,0.03142857142857143,0.5333195868659787,0.4000830274338122,0.45543813665743776,0.4000078210908384,165.07306295399516,163.5,7437.386608678956,20890,0.029742582151603168,0.6122362869198312,1.03022961305672,6,3,True
odds_100_1000_race>=0.4_score>=0.4_expected>=5000_top5_by_expected_return,1400,6608,4.72,660800,702360,41560,1.0628934624697337,1.0312802663438256,44,0.006658595641646489,0.03142857142857143,0.5333195868659787,0.4000830274338122,0.455433451151403,0.4000078210908384,165.17451573849883,163.5,7441.528372301001,20890,0.029742582151603168,0.6122362869198312,1.03022961305672,6,3,True
odds_100_500_race>=0.55_score>=0.2_expected>=5000_top5_by_ticket_score,575,2872,4.994782608695652,287200,311260,24060,1.083774373259053,1.030466573816156,26,0.009052924791086351,0.04521739130434783,0.636085011543847,0.5502825174254746,0.501496586644239,0.212411460836399,127.40278551532035,118.7,6289.652492330141,15310,0.04918717470924629,0.29848101265822785,1.0124082897691369,6,3,True
odds_100_1000_race>=0.55_score>=0.2_expected>=5000_top5_by_ticket_score,575,2872,4.994782608695652,287200,311260,24060,1.083774373259053,1.030466573816156,26,0.009052924791086351,0.04521739130434783,0.636085011543847,0.5502825174254746,0.5015023843555513,0.212411460836399,127.68123259052925,118.7,6299.232718571107,15310,0.04918717470924629,0.29848101265822785,1.0124082897691369,6,3,True
odds_100_500_race>=0.4_score>=0.4_expected>=3000_top5_by_expected_return,1417,6831,4.820748059280169,683100,724650,41550,1.0608256477821696,1.0302444737227345,46,0.006734006734006734,0.032462949894142556,0.532809431298612,0.4000830274338122,0.45486262549355716,0.4000078210908384,163.19102620406971,162.3,7347.875715132371,20890,0.02882770992893121,0.5922448979591837,1.0245891186206348,6,3,True
odds_100_1000_race>=0.4_score>=0.4_expected>=3000_top5_by_expected_return,1417,6831,4.820748059280169,683100,724650,41550,1.0608256477821696,1.0302444737227345,46,0.006734006734006734,0.032462949894142556,0.532809431298612,0.4000830274338122,0.454858092947242,0.4000078210908384,163.28916703264534,162.3,7351.882269665305,20890,0.02882770992893121,0.5922448979591837,1.0245891186206348,6,3,True
odds_100_500_race>=0.4_score>=0.4_expected>=3000_top2_by_ticket_score,1417,2820,1.990119971771348,282000,307840,25840,1.091631205673759,1.029113475177305,27,0.009574468085106383,0.019054340155257588,0.5321328623737921,0.4000830274338122,0.530407440336757,0.4005393133331908,116.52102836879432,109.3,6154.944332060777,17630,0.057270010395010396,0.5423267326732674,1.0728764187929656,6,2,True
odds_100_1000_race>=0.4_score>=0.4_expected>=3000_top2_by_ticket_score,1417,2820,1.990119971771348,282000,307840,25840,1.091631205673759,1.029113475177305,27,0.009574468085106383,0.019054340155257588,0.5321328623737921,0.4000830274338122,0.530407440336757,0.4005393133331908,116.52102836879432,109.3,6154.944332060777,17630,0.057270010395010396,0.5423267326732674,1.0728764187929656,6,2,True
