strategy,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_odds,median_odds,avg_score,max_hit_payout,max_hit_share,day
middle_plus_high_top5,3,3,1.0,300,0,-300,0.0,0.0,0,0.0,0.0,30.366666666666664,30.3,0.9098636075786176,0,0.0,2026-02-19
middle_plus_high_top5,15,62,4.133333333333334,6200,0,-6200,0.0,0.0,0,0.0,0.0,153.03387096774193,148.95,0.4729575886480886,0,0.0,2026-02-20
middle_plus_high_top5,15,65,4.333333333333333,6500,0,-6500,0.0,0.0,0,0.0,0.0,164.56153846153848,167.8,0.4608783287057449,0,0.0,2026-02-21
middle_plus_high_top5,16,64,4.0,6400,0,-6400,0.0,0.0,0,0.0,0.0,169.5265625,171.05,0.4871901131226735,0,0.0,2026-02-22
middle_plus_high_top5,17,61,3.588235294117647,6100,0,-6100,0.0,0.0,0,0.0,0.0,163.1590163934426,170.4,0.4843218903250876,0,0.0,2026-02-23
middle_plus_high_top5,1,1,1.0,100,0,-100,0.0,0.0,0,0.0,0.0,30.3,30.3,0.9003376060652535,0,0.0,2026-02-24
middle_plus_high_top5,8,8,1.0,800,3030,2230,3.7875,0.0,1,0.125,0.125,30.325,30.35,0.9100226338299474,3030,1.0,2026-02-25
middle_plus_high_top5,3,7,2.3333333333333335,700,0,-700,0.0,0.0,0,0.0,0.0,129.57142857142858,149.2,0.5710839889272805,0,0.0,2026-02-26
middle_plus_high_top5,8,8,1.0,800,0,-800,0.0,0.0,0,0.0,0.0,30.3,30.25,0.9068541381661763,0,0.0,2026-02-27
middle_plus_high_top5,15,58,3.8666666666666667,5800,0,-5800,0.0,0.0,0,0.0,0.0,146.4206896551724,164.15,0.5227643144637943,0,0.0,2026-02-28
middle_plus_high_top5,10,43,4.3,4300,16920,12620,3.9348837209302325,0.0,1,0.023255813953488372,0.1,148.00000000000003,155.3,0.4876751129917772,16920,1.0,2026-03-01
middle_plus_high_top5,12,44,3.6666666666666665,4400,3030,-1370,0.6886363636363636,0.0,1,0.022727272727272728,0.08333333333333333,162.79318181818186,183.15,0.5023414701660761,3030,1.0,2026-03-02
middle_plus_high_top5,10,42,4.2,4200,0,-4200,0.0,0.0,0,0.0,0.0,163.45238095238093,165.45,0.4609985473682233,0,0.0,2026-03-03
middle_plus_high_top5,4,4,1.0,400,0,-400,0.0,0.0,0,0.0,0.0,30.325,30.35,0.9106805003325151,0,0.0,2026-03-04
middle_plus_high_top5,20,61,3.05,6100,3050,-3050,0.5,0.0,1,0.01639344262295082,0.05,124.60491803278687,139.8,0.555910387408155,3050,1.0,2026-03-05
middle_plus_high_top5,13,36,2.769230769230769,3600,0,-3600,0.0,0.0,0,0.0,0.0,133.84166666666667,145.75,0.5309012535823396,0,0.0,2026-03-06
middle_plus_high_top5,13,60,4.615384615384615,6000,0,-6000,0.0,0.0,0,0.0,0.0,157.2,163.55,0.48948017744477845,0,0.0,2026-03-07
middle_plus_high_top5,11,52,4.7272727272727275,5200,3040,-2160,0.5846153846153846,0.0,1,0.019230769230769232,0.09090909090909091,170.9269230769231,170.1,0.4860311124185074,3040,1.0,2026-03-08
middle_plus_high_top5,6,10,1.6666666666666667,1000,0,-1000,0.0,0.0,0,0.0,0.0,122.69000000000001,107.1,0.6669016063417308,0,0.0,2026-03-09
middle_plus_high_top5,6,12,2.0,1200,0,-1200,0.0,0.0,0,0.0,0.0,114.00833333333334,30.55,0.7250007554806382,0,0.0,2026-03-10
middle_plus_high_top5,3,7,2.3333333333333335,700,0,-700,0.0,0.0,0,0.0,0.0,145.42857142857142,178.0,0.5634195200598668,0,0.0,2026-03-11
middle_plus_high_top5,25,95,3.8,9500,0,-9500,0.0,0.0,0,0.0,0.0,158.50000000000003,163.6,0.49960443332036014,0,0.0,2026-03-12
middle_plus_high_top5,23,99,4.304347826086956,9900,51680,41780,5.22020202020202,3.311111111111111,4,0.04040404040404041,0.17391304347826086,147.13737373737374,147.3,0.4817277406023658,18900,0.3657120743034056,2026-03-13
middle_plus_high_top5,25,100,4.0,10000,48930,38930,4.893,3.064,3,0.03,0.12,153.90600000000003,158.4,0.49134027321992635,18290,0.3737993051297772,2026-03-14
middle_plus_high_top5,23,99,4.304347826086956,9900,30310,20410,3.0616161616161617,1.1585858585858586,2,0.020202020202020204,0.08695652173913043,153.11212121212122,153.7,0.47925882314602347,18840,0.6215770372814253,2026-03-15
middle_plus_high_top5,4,10,2.5,1000,0,-1000,0.0,0.0,0,0.0,0.0,100.34000000000002,92.0,0.6851168343516247,0,0.0,2026-03-16
middle_plus_high_top5,6,10,1.6666666666666667,1000,0,-1000,0.0,0.0,0,0.0,0.0,104.13000000000002,97.3,0.6692757669478361,0,0.0,2026-03-17
middle_plus_high_top5,6,6,1.0,600,0,-600,0.0,0.0,0,0.0,0.0,30.249999999999996,30.2,0.9058002988828223,0,0.0,2026-03-18
middle_plus_high_top5,12,52,4.333333333333333,5200,19750,14550,3.798076923076923,0.0,1,0.019230769230769232,0.08333333333333333,155.3846153846154,159.35,0.4661427950355182,19750,1.0,2026-03-19
middle_plus_high_top5,14,57,4.071428571428571,5700,0,-5700,0.0,0.0,0,0.0,0.0,151.42105263157896,150.8,0.4700166130787204,0,0.0,2026-03-20
middle_plus_high_top5,15,58,3.8666666666666667,5800,0,-5800,0.0,0.0,0,0.0,0.0,153.52413793103452,162.35000000000002,0.4792279453173972,0,0.0,2026-03-21
middle_plus_high_top5,14,57,4.071428571428571,5700,28370,22670,4.97719298245614,1.8982456140350876,2,0.03508771929824561,0.14285714285714285,154.5561403508772,163.2,0.4670274787825602,17550,0.6186112090236165,2026-03-22
middle_plus_high_top5,3,7,2.3333333333333335,700,0,-700,0.0,0.0,0,0.0,0.0,100.52857142857144,115.3,0.5906448508973108,0,0.0,2026-03-23
middle_plus_high_top5,4,5,1.25,500,0,-500,0.0,0.0,0,0.0,0.0,30.559999999999995,30.7,0.910183179041668,0,0.0,2026-03-24
middle_plus_high_top5,3,3,1.0,300,0,-300,0.0,0.0,0,0.0,0.0,30.433333333333334,30.5,0.9082313422099405,0,0.0,2026-03-25
middle_plus_high_top5,9,13,1.4444444444444444,1300,0,-1300,0.0,0.0,0,0.0,0.0,85.88461538461537,30.6,0.7335955345121038,0,0.0,2026-03-26
middle_plus_high_top5,4,4,1.0,400,0,-400,0.0,0.0,0,0.0,0.0,30.15,30.05,0.9132337537275343,0,0.0,2026-03-27
