rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_direct_expected_return,avg_hit_payout,max_hit_payout,max_hit_share
odds_50plus_expected>=200_top2,13308,26614,1.9998497144574692,2661400,11267640,8606240,4.233726610054858,4.085804463816037,91,0.0034192530247238295,0.006837992185151788,0.12282417264941956,0.0008150196338287,1837.52723754415,1543.3,16007.1716731146,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=800_top2,13308,26615,1.9999248572287347,2661500,11267640,8606140,4.233567537103137,4.085650948713131,91,0.003419124553823032,0.006837992185151788,0.12290766721772166,0.0046232099168636,1837.3432575615254,1543.3,16006.7099102338,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=1000_top2,13308,26615,1.9999248572287347,2661500,11267640,8606140,4.233567537103137,4.085650948713131,91,0.003419124553823032,0.006837992185151788,0.12290766721772166,0.0046232099168636,1837.3432575615254,1543.3,16006.7099102338,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=800_top2,13308,26615,1.9999248572287347,2661500,11267640,8606140,4.233567537103137,4.085650948713131,91,0.003419124553823032,0.006837992185151788,0.12290766721772166,0.0046232099168636,1837.3432575615254,1543.3,16006.7099102338,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=1000_top2,13308,26615,1.9999248572287347,2661500,11267640,8606140,4.233567537103137,4.085650948713131,91,0.003419124553823032,0.006837992185151788,0.12290766721772166,0.0046232099168636,1837.3432575615254,1543.3,16006.7099102338,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=150_top2,13310,26617,1.9997746055597296,2661700,11267640,8605940,4.2332494270578955,4.085343953112672,91,0.003418867640981328,0.006836964688204357,0.12281125634686119,0.0004439615574002,1837.5542134725927,1543.3,16005.386684225181,123820.21978021978,393680,0.03493899343607002
odds_all_expected>=500_top2,13311,26618,1.9996994966569004,2661800,11267640,8605840,4.23309038996168,4.085190472612518,91,0.0034187391990382447,0.0068364510555179924,0.12293438754138832,0.0046232099168636,1837.1380531970844,1543.2,16004.967087030294,123820.21978021978,393680,0.03493899343607002
odds_10plus_expected>=500_top2,13311,26618,1.9996994966569004,2661800,11267640,8605840,4.23309038996168,4.085190472612518,91,0.0034187391990382447,0.0068364510555179924,0.12293438754138832,0.0046232099168636,1837.1380531970844,1543.2,16004.967087030294,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=200_top2,13311,26618,1.9996994966569004,2661800,11267640,8605840,4.23309038996168,4.085190472612518,91,0.0034187391990382447,0.0068364510555179924,0.1228380358065082,0.0008150196338287,1837.2505071755954,1543.25,16004.827512470174,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=100_top2,13311,26620,1.99984974832845,2662000,11267640,8605640,4.232772351615327,4.084883546205861,91,0.0034184823441021786,0.0068364510555179924,0.12279834641991115,0.0004439615574002,1837.4771262208867,1543.3,16003.5971168879,123820.21978021978,393680,0.03493899343607002
