rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1120260514030012,9-3-2,2026-05-16,107.1,10710,0,3140.0,6.0,0.0,0.5695092359846894,6099.443917396024,27,255,0.545401892624664,2026-05,2026-05-16,6099.443917396023
high_odds_v1_top2,1120260514030012,9-3-4,2026-05-16,122.2,12220,0,3140.0,6.0,0.0,0.5442039762372447,6650.17258961913,30,221,0.545401892624664,2026-05,2026-05-16,6650.17258961913
high_odds_v1_top2,1120260514040003,9-3-5,2026-05-17,104.4,10440,0,54070.0,141.0,0.0,0.5901375120028008,6161.0356253092405,21,262,0.4679408459531785,2026-05,2026-05-17,6161.035625309241
high_odds_v1_top2,1120260514040003,9-5-6,2026-05-17,165.5,16550,0,54070.0,141.0,0.0,0.5702982595124978,9438.43619493184,23,124,0.4679408459531785,2026-05,2026-05-17,9438.436194931839
high_odds_v1_top2,1120260514040004,4-3-7,2026-05-17,140.3,14030,0,3430.0,8.0,0.0,0.6397962742531503,8976.3417277717,24,188,0.6845909221103111,2026-05,2026-05-17,8976.3417277717
high_odds_v1_top2,1120260514040004,9-1-8,2026-05-17,137.4,13740,0,3430.0,8.0,0.0,0.5636961283498351,7745.184803526734,31,244,0.6845909221103111,2026-05,2026-05-17,7745.184803526735
high_odds_v1_top2,1120260514040005,4-2-5,2026-05-17,114.4,11440,0,930.0,1.0,0.0,0.5693997591850151,6513.933245076572,26,267,0.6011562182758945,2026-05,2026-05-17,6513.933245076572
high_odds_v1_top2,1120260514040005,4-5-7,2026-05-17,102.0,10200,0,930.0,1.0,0.0,0.5623591718048194,5736.063552409159,27,328,0.6011562182758945,2026-05,2026-05-17,5736.063552409159
high_odds_v1_top2,1120260514040007,3-2-5,2026-05-17,103.9,10390,0,1270.0,1.0,0.0,0.5731456141042718,5954.982930543384,28,191,0.4809246659218794,2026-05,2026-05-17,5954.982930543384
high_odds_v1_top2,1120260514040007,3-5-2,2026-05-17,106.4,10640,0,1270.0,1.0,0.0,0.5499314045309599,5851.270144209413,30,198,0.4809246659218794,2026-05,2026-05-17,5851.270144209413
high_odds_v1_top2,1120260514040009,7-1-5,2026-05-17,128.9,12890,0,2010.0,4.0,0.0,0.5407346303713086,6970.069385486168,31,210,0.5956566671218567,2026-05,2026-05-17,6970.069385486168
high_odds_v1_top2,1120260514040009,7-5-2,2026-05-17,136.4,13640,0,2010.0,4.0,0.0,0.5210811640125894,7107.54707713172,32,201,0.5956566671218567,2026-05,2026-05-17,7107.54707713172
high_odds_v1_top2,1120260514040010,3-6-7,2026-05-17,141.9,14190,0,27670.0,101.0,0.0,0.5438395837951798,7717.083694053602,27,251,0.5860865732143217,2026-05,2026-05-17,7717.083694053602
high_odds_v1_top2,1120260514040010,3-6-1,2026-05-17,164.1,16410,0,27670.0,101.0,0.0,0.5278698267190365,8662.343856459389,28,196,0.5860865732143217,2026-05,2026-05-17,8662.343856459389
