rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,day
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5984088387765667,0.5158146685067095,0.5648409583855776,0.4731772044921002,112.7125,111.6,6340.0997312634345,0,0.0,2026-04-11
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5942340626978548,0.5088383728428141,0.5466686225414095,0.4748655466985843,123.79374999999999,120.65,6729.372650510718,0,0.0,2026-04-12
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.5104621889743011,0.5104621889743011,0.5546494648167628,0.5322265337909061,108.75,108.75,6038.651923845182,0,0.0,2026-04-14
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.493386101256754,0.493386101256754,0.5083193053916878,0.5082361459416443,107.15,107.15,5446.677531632704,0,0.0,2026-04-16
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.5517088236712796,0.4568870914185833,0.5200038794805669,0.4007154100445854,114.63888888888889,106.30000000000001,5881.707602131576,0,0.0,2026-04-18
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.5131761532666057,0.453826787540355,0.5207112470136779,0.4190062700533367,111.75555555555555,111.25,5800.338249939898,0,0.0,2026-04-19
high_odds_v1_top2,10,20,2.0,2000,10200,8200,5.1,0.0,1,0.05,0.1,0.5678530775491575,0.4597376738647759,0.5476431607107074,0.4738665049063747,106.775,105.5,5844.410670868457,10200,1.0,2026-04-20
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.5872448850570411,0.4644644117452717,0.5519724549865717,0.4432929941900033,109.46666666666667,107.80000000000001,6038.050027053692,0,0.0,2026-04-21
high_odds_v1_top2,8,15,1.875,1500,0,-1500,0.0,0.0,0,0.0,0.0,0.5411731337036588,0.4580835583813879,0.5495615709339253,0.4282009111770648,112.15333333333335,108.4,6140.3315792042795,0,0.0,2026-04-23
high_odds_v1_top2,11,21,1.9090909090909092,2100,0,-2100,0.0,0.0,0,0.0,0.0,0.5422777442972228,0.4570060396538314,0.5305167445006435,0.4264800950698159,110.65238095238097,106.9,5853.4250747100095,0,0.0,2026-04-24
high_odds_v1_top2,12,24,2.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,0.5200726775206421,0.4619049510038739,0.5291367215742203,0.4146621880398809,121.05,111.6,6364.3883137077055,0,0.0,2026-04-25
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.5347796228325594,0.4736473193521639,0.5405183061345477,0.4661584751664367,115.425,109.55,6220.335079228481,0,0.0,2026-04-26
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.6228084973003853,0.4984226192121013,0.4919873843568697,0.4221415964891042,125.53636363636365,116.85,6145.526257912829,0,0.0,2026-05-01
high_odds_v1_top2,13,26,2.0,2600,0,-2600,0.0,0.0,0,0.0,0.0,0.6089282160335276,0.4625845265076028,0.5215435428395895,0.4349964154120291,117.9,107.35,6120.726490443378,0,0.0,2026-05-02
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.6377164129500839,0.4935676452899,0.5233841162025532,0.4576541356365383,114.02000000000001,105.95,5944.051373291575,0,0.0,2026-05-03
high_odds_v1_top2,13,25,1.9230769230769231,2500,14190,11690,5.676,0.0,1,0.04,0.07692307692307693,0.5834308433023107,0.4512484024654274,0.5059350184563595,0.4375140134510605,118.12,110.2,5952.008766048551,14190,1.0,2026-05-04
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.669486094425477,0.5459067701145741,0.5157817223501914,0.4267125571054435,111.73499999999999,108.8,5758.757707470064,0,0.0,2026-05-05
high_odds_v1_top2,11,22,2.0,2200,23450,21250,10.659090909090908,4.6454545454545455,2,0.09090909090909091,0.18181818181818182,0.6501206801995991,0.4837437787372909,0.5033068906978908,0.4269045129347271,115.2181818181818,111.6,5767.678752129111,13230,0.564179104477612,2026-05-06
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.5862234232620682,0.4554696753467086,0.533969241791756,0.4460502564535968,117.21363636363638,108.05,6201.914068419801,0,0.0,2026-05-09
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.614756095304868,0.5076194301556728,0.5431571935402959,0.498886111127598,107.925,107.94999999999999,5859.401335379771,0,0.0,2026-05-10
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.589031561029821,0.4590124825108803,0.5501477890044063,0.4802217124228465,112.21666666666667,107.9,6144.106148805829,0,0.0,2026-05-11
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.6420792187613662,0.5471604161464723,0.5605457947664182,0.5254322296647264,115.82142857142858,108.05000000000001,6499.312363474673,0,0.0,2026-05-12
high_odds_v1_top2,9,18,2.0,1800,10010,8210,5.561111111111111,0.0,1,0.05555555555555555,0.1111111111111111,0.5258545590875557,0.4625236991250618,0.5520945119707998,0.4469753921768026,113.60555555555555,107.85,6255.3979716713775,10010,1.0,2026-05-14
high_odds_v1_top2,10,20,2.0,2000,10600,8600,5.3,0.0,1,0.05,0.1,0.524389069961853,0.4545381161595654,0.5462356170870832,0.4577984760013841,115.24499999999998,108.05000000000001,6298.047445749746,10600,1.0,2026-05-15
high_odds_v1_top2,13,26,2.0,2600,11940,9340,4.592307692307692,0.0,1,0.038461538461538464,0.07692307692307693,0.5452754665887775,0.4559818335667486,0.5430009669522107,0.4925870901924698,117.1423076923077,108.05000000000001,6321.280320596196,11940,1.0,2026-05-16
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.5625563554837473,0.4558242875167155,0.5521024056603084,0.4084619225490024,132.39545454545453,129.4,7252.610544038061,0,0.0,2026-05-17
high_odds_v1_top2,5,10,2.0,1000,0,-1000,0.0,0.0,0,0.0,0.0,0.47390241274721295,0.4537548631485756,0.4752500566964488,0.4088979083237105,144.73000000000002,109.75,6664.010415207767,0,0.0,2026-05-22
high_odds_v1_top2,14,28,2.0,2800,10170,7370,3.632142857142857,0.0,1,0.03571428571428571,0.07142857142857142,0.6071019854816161,0.4503698939301759,0.5014740098311637,0.4061677084332499,113.23214285714286,106.75,5656.6859482933305,10170,1.0,2026-05-23
high_odds_v1_top2,17,33,1.9411764705882353,3300,0,-3300,0.0,0.0,0,0.0,0.0,0.594457307987318,0.4628055605607369,0.5176677995420614,0.4208543064172575,114.4030303030303,107.5,5909.043304682459,0,0.0,2026-05-24
high_odds_v1_top2,2,4,2.0,400,0,-400,0.0,0.0,0,0.0,0.0,0.4830428936392935,0.4596437592541936,0.49994247637302724,0.4955127701667697,116.2,113.1,5811.766455876954,0,0.0,2026-05-27
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.5122471019761303,0.5122471019761303,0.47396805255552854,0.465697856488873,138.55,138.55,6579.35671519783,0,0.0,2026-05-29
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.5142705892584671,0.4635852163421712,0.5007023567121208,0.4036579556339311,120.67222222222222,117.15,5993.2246106128105,0,0.0,2026-05-30
high_odds_v1_top2,4,8,2.0,800,0,-800,0.0,0.0,0,0.0,0.0,0.50525928861553,0.4633257161036458,0.5395903577398536,0.4729130532411399,112.88749999999999,105.95,6056.967269330578,0,0.0,2026-05-31
high_odds_v1_top2,6,12,2.0,1200,0,-1200,0.0,0.0,0,0.0,0.0,0.5432522890160859,0.4951447784287821,0.5246232782440517,0.464279503072242,118.925,114.35,6200.670746430699,0,0.0,2026-06-01
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.516599261278423,0.4520959807177081,0.5398182280929426,0.4619994298502836,114.63571428571429,109.1,6158.311759418073,0,0.0,2026-06-02
high_odds_v1_top2,9,17,1.8888888888888888,1700,0,-1700,0.0,0.0,0,0.0,0.0,0.5433049257745646,0.4529913927439151,0.5085044901531867,0.4381981974206631,115.1470588235294,107.9,5845.749984973866,0,0.0,2026-06-04
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.5519753998100968,0.4848378393717432,0.5238327954542753,0.4341083747348814,119.53571428571426,118.69999999999999,6232.766792986554,0,0.0,2026-06-05
high_odds_v1_top2,10,19,1.9,1900,0,-1900,0.0,0.0,0,0.0,0.0,0.5886185960882316,0.4965792752353886,0.5224762530734874,0.4120538287308167,114.12105263157896,106.6,5969.922117634566,0,0.0,2026-06-06
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.5932610552419647,0.4632949703228292,0.5269848345080154,0.4422738073057283,130.27727272727273,119.2,6807.715790747004,0,0.0,2026-06-07
high_odds_v1_top2,17,34,2.0,3400,17630,14230,5.185294117647059,0.0,1,0.029411764705882353,0.058823529411764705,0.5544704600940102,0.4521333557770249,0.5480828939845397,0.458577738971811,115.85882352941178,105.45,6304.480949187907,17630,1.0,2026-06-11
high_odds_v1_top2,16,32,2.0,3200,0,-3200,0.0,0.0,0,0.0,0.0,0.5692902049562805,0.4522835366197411,0.5432594946515138,0.4702817605139083,114.0625,109.15,6188.388839187735,0,0.0,2026-06-12
high_odds_v1_top2,16,32,2.0,3200,11500,8300,3.59375,0.0,1,0.03125,0.0625,0.6164689445772172,0.4750052477036014,0.5406775239069842,0.4853924768498273,114.925,109.15,6196.108726926475,11500,1.0,2026-06-13
high_odds_v1_top2,18,36,2.0,3600,0,-3600,0.0,0.0,0,0.0,0.0,0.5872355924368394,0.4624787886945807,0.5459866776552639,0.496176628249356,112.81944444444444,106.9,6145.1265204138235,0,0.0,2026-06-14
high_odds_v1_top2,11,21,1.9090909090909092,2100,15310,13210,7.29047619047619,0.0,1,0.047619047619047616,0.09090909090909091,0.6374505138643681,0.4847542780674635,0.5085781592624292,0.4149639412038913,146.44761904761904,129.1,7509.469698213388,15310,1.0,2026-06-16
