rule,race_count,tickets,bet,return,profit,roi,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_odds,median_odds,avg_expected_roi,min_expected_roi,avg_hit_payout,max_hit_payout
race_score>=0.40_odds_50plus_ev>=3.0_top1,1443,1443,144300,778840,634540,5.397366597366597,1,0.000693000693000693,0.000693000693000693,0.5315942351175246,0.4000830274338122,5883.889397089396,5812.6,13.14723854544489,3.1437656078847573,778840.0,778840
race_score>=0.40_odds_100plus_ev>=3.0_top1,1443,1443,144300,778840,634540,5.397366597366597,1,0.000693000693000693,0.000693000693000693,0.5315942351175246,0.4000830274338122,5883.889397089396,5812.6,13.14723854544489,3.1437656078847573,778840.0,778840
race_score>=0.40_odds_all_top1_by_value_score,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_all_top1_by_expected_roi,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_all_ev>=0.8_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_all_ev>=1.0_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_all_ev>=1.2_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_all_ev>=1.5_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_all_ev>=2.0_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_30plus_top1_by_value_score,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_30plus_top1_by_expected_roi,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_30plus_ev>=0.8_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
race_score>=0.40_odds_30plus_ev>=1.0_top1,1444,1444,144400,778840,634440,5.393628808864266,1,0.0006925207756232687,0.0006925207756232687,0.5315119941259788,0.4000830274338122,5880.190443213296,5811.3,13.140200289500683,2.983996962010725,778840.0,778840
