model,target,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
random_forest,is_over_50,0.6272304099886111,top_5pct,666,0.05,0.5444688910926643,27672.92792792793,9490.0,778840,0.23573573573573572,0.14414414414414414,0.04954954954954955,0.14414414414414414
random_forest,is_over_50,0.6272304099886111,top_10pct,1332,0.1,0.47647992939596356,25844.346846846845,8080.0,778840,0.2057057057057057,0.12912912912912913,0.05105105105105105,0.12912912912912913
random_forest,is_over_50,0.6272304099886111,top_20pct,2664,0.2,0.40253545927158274,20110.73948948949,6205.0,1240140,0.15165165165165165,0.09271771771771772,0.03415915915915916,0.09271771771771772
random_forest,is_over_50,0.6272304099886111,score>=0.30,2979,0.22364864864864864,0.3920253851733098,19397.334676065795,6030.0,1240140,0.14870762000671367,0.08828465928163813,0.031554212823095,0.08828465928163813
random_forest,is_over_50,0.6272304099886111,score>=0.40,1032,0.07747747747747748,0.5046763621743534,27373.972868217053,8875.0,778840,0.21414728682170542,0.1375968992248062,0.05426356589147287,0.1375968992248062
random_forest,is_over_50,0.6272304099886111,score>=0.50,510,0.038288288288288286,0.5629321261154461,29977.549019607843,10240.0,778840,0.24705882352941178,0.15098039215686274,0.054901960784313725,0.15098039215686274
random_forest,is_over_50,0.6272304099886111,score>=0.60,107,0.008033033033033033,0.6349340703196841,25407.66355140187,13190.0,276510,0.2897196261682243,0.12149532710280374,0.04672897196261682,0.12149532710280374
extra_trees,is_over_50,0.6190578086181445,ALL,13320,1.0,0.3663669498015765,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
extra_trees,is_over_50,0.6190578086181445,top_1pct,133,0.009984984984984985,0.7091243357972863,29953.834586466164,11090.0,327530,0.2857142857142857,0.15789473684210525,0.07518796992481203,0.15789473684210525
extra_trees,is_over_50,0.6190578086181445,top_3pct,399,0.029954954954954954,0.678717570243831,29096.842105263157,10830.0,778840,0.2531328320802005,0.13784461152882205,0.05263157894736842,0.13784461152882205
extra_trees,is_over_50,0.6190578086181445,top_5pct,666,0.05,0.6583241641749505,28681.59159159159,9940.0,778840,0.23123123123123124,0.14114114114114115,0.05405405405405406,0.14114114114114115
extra_trees,is_over_50,0.6190578086181445,top_10pct,1332,0.1,0.6082006582401462,26700.0,7930.0,1240140,0.1996996996996997,0.12762762762762764,0.0518018018018018,0.12762762762762764
extra_trees,is_over_50,0.6190578086181445,top_20pct,2664,0.2,0.5203888049324044,20215.762012012012,6390.0,1240140,0.15165165165165165,0.0915915915915916,0.03641141141141141,0.0915915915915916
extra_trees,is_over_50,0.6190578086181445,score>=0.30,10588,0.7948948948948948,0.39946997813611723,14678.367963732528,4570.0,1240140,0.10833018511522478,0.06356252361163581,0.022572723838307517,0.06356252361163581
extra_trees,is_over_50,0.6190578086181445,score>=0.40,3377,0.25352852852852853,0.4962731797361619,18586.96180041457,5870.0,1240140,0.1445069588392064,0.0849866745632218,0.029908202546639027,0.0849866745632218
extra_trees,is_over_50,0.6190578086181445,score>=0.50,1237,0.09286786786786787,0.6176387089278523,27571.398544866614,8110.0,1240140,0.20452708164915118,0.13177041228779304,0.05335489086499596,0.13177041228779304
extra_trees,is_over_50,0.6190578086181445,score>=0.60,765,0.057432432432432436,0.6515696194038955,29311.37254901961,9600.0,778840,0.23137254901960785,0.1411764705882353,0.05359477124183006,0.1411764705882353
hist_gradient_boosting,is_over_50,0.6206958409142361,ALL,13320,1.0,0.05619679341878783,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
hist_gradient_boosting,is_over_50,0.6206958409142361,top_1pct,133,0.009984984984984985,0.1983792619303521,32202.93233082707,13590.0,327530,0.2932330827067669,0.17293233082706766,0.06766917293233082,0.17293233082706766
hist_gradient_boosting,is_over_50,0.6206958409142361,top_3pct,399,0.029954954954954954,0.1658655039890264,28391.979949874687,11170.0,464820,0.2631578947368421,0.17042606516290726,0.05012531328320802,0.17042606516290726
hist_gradient_boosting,is_over_50,0.6206958409142361,top_5pct,666,0.05,0.1487027956260574,26246.006006006006,9670.0,464820,0.2222222222222222,0.13813813813813813,0.04804804804804805,0.13813813813813813
hist_gradient_boosting,is_over_50,0.6206958409142361,top_10pct,1332,0.1,0.1213312686449284,26703.25075075075,7975.0,1240140,0.20045045045045046,0.12987987987987987,0.05105105105105105,0.12987987987987987
hist_gradient_boosting,is_over_50,0.6206958409142361,top_20pct,2664,0.2,0.09385433927747712,19890.893393393395,6375.0,1240140,0.15202702702702703,0.0915915915915916,0.03265765765765766,0.0915915915915916
