rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_30_500_score>=0.5_expected>=0_top5_by_direct_ticket_score,2306,11511,4.991760624457936,1151100,935800,-215300,0.8129615150725393,0.8065589436191469,238,0.020675875249761097,0.10320901994796183,0.781580328172165,0.5008546297037823,41.44242029363218,39.0,3203.608799375383,7370,0.007875614447531524,2026-05
odds_30_500_score>=0.5_expected>=0_top5_by_direct_ticket_score,1977,9869,4.991906929691452,986900,730380,-256520,0.740074982267707,0.7331340561353734,188,0.019049549093119872,0.09509357612544259,0.7813591419419121,0.5028559376468363,41.583372175499036,39.2,3213.6547075809,6850,0.00937867959144555,2026-06
odds_30_500_score>=0.5_expected>=0_top10_by_direct_ticket_score,2305,22544,9.780477223427331,2254400,1809170,-445230,0.8025062100780695,0.7971078779276083,390,0.017299503193754437,0.16919739696312364,0.7423987034999304,0.5004939768969184,49.47366926898509,46.2,3595.693518773596,12170,0.006726841590342533,2026-01
odds_30_500_score>=0.5_expected>=0_top10_by_direct_ticket_score,2128,20843,9.794642857142858,2084300,1753080,-331220,0.8410881351053111,0.8363719234275296,385,0.018471429256824833,0.18092105263157895,0.7457913820180511,0.5001033805454665,49.22849397879384,46.1,3596.961624544707,9830,0.005607274054806398,2026-02
odds_30_500_score>=0.5_expected>=0_top10_by_direct_ticket_score,2256,22071,9.783244680851064,2207100,1833140,-373960,0.8305649947895428,0.826151964115808,386,0.017489012731638803,0.17109929078014185,0.7444897595113157,0.5000567165479454,49.11660096959812,46.1,3582.768138101345,9740,0.005313287583054213,2026-03
odds_30_500_score>=0.5_expected>=0_top10_by_direct_ticket_score,2333,22801,9.773253321903129,2280100,1708960,-571140,0.7495109863602474,0.7447392658216745,387,0.016972939783342834,0.16588084012001714,0.7453657133866604,0.5003969672635147,49.07352309109249,45.8,3581.584190653353,10880,0.006366445089411104,2026-04
odds_30_500_score>=0.5_expected>=0_top10_by_direct_ticket_score,2306,22552,9.779705117085863,2255200,1936050,-319150,0.8584826179496275,0.8206234480312168,411,0.018224547711954593,0.1782307025151778,0.7458832439855672,0.5000269802273916,48.70935172046824,45.5,3559.6004564768136,85380,0.04410010072053924,2026-05
odds_30_500_score>=0.5_expected>=0_top10_by_direct_ticket_score,1977,19362,9.793626707132018,1936200,1513520,-422680,0.7816961057741969,0.776169817167648,333,0.017198636504493336,0.16843702579666162,0.7457575315197693,0.5002763442879608,48.801611403780605,45.7,3565.088049465417,10700,0.007069612558803319,2026-06
odds_30_500_score>=0.5_expected>=0_top1_by_direct_expected_return,2305,2305,1.0,230500,207270,-23230,0.8992190889370932,0.8116268980477224,21,0.00911062906724512,0.00911062906724512,0.5758595410264804,0.5000251660170684,110.4345770065076,105.6,6256.11960121653,20190,0.09740917643653206,2026-01
odds_30_500_score>=0.5_expected>=0_top1_by_direct_expected_return,2128,2128,1.0,212800,132590,-80210,0.6230733082706766,0.5533834586466165,13,0.006109022556390977,0.006109022556390977,0.571968833356951,0.5000217591684042,112.26334586466164,107.2,6318.664662243237,14830,0.11184855569801644,2026-02
odds_30_500_score>=0.5_expected>=0_top1_by_direct_expected_return,2256,2256,1.0,225600,222860,-2740,0.987854609929078,0.9126329787234042,21,0.009308510638297872,0.009308510638297872,0.5714795799334511,0.5000570527171574,112.43820921985815,107.0,6321.8844651736445,16970,0.07614645966077357,2026-03
odds_30_500_score>=0.5_expected>=0_top1_by_direct_expected_return,2333,2333,1.0,233300,218000,-15300,0.9344192027432491,0.8634376339477068,20,0.008572653236176597,0.008572653236176597,0.5730951395952736,0.5000571024668072,111.66828118302614,105.9,6296.175077338285,16560,0.07596330275229357,2026-04
odds_30_500_score>=0.5_expected>=0_top1_by_direct_expected_return,2306,2306,1.0,230600,220740,-9860,0.9572419774501301,0.8924111014744146,21,0.009106678230702514,0.009106678230702514,0.5727014474618942,0.5001688450851639,111.39219427580225,105.5,6276.801577915311,14950,0.06772673733804475,2026-05
