race_id,entry_count,result_count,diff
1320240430040004,9,6,-3
1320240616010003,7,6,-1
1320240616020006,7,6,-1
1320240616030007,7,5,-2
1320240629010001,7,5,-2
1320240629030005,7,6,-1
1320240707010005,7,6,-1
1320240707020002,6,5,-1
1320240707020005,7,5,-2
1320240707020012,7,5,-2
1320240725010001,7,0,-7
1320240725010002,7,0,-7
1320240725020002,7,4,-3
1320240725030007,7,5,-2
1320240808010003,7,6,-1
1320240808010004,7,5,-2
1320240808020001,5,0,-5
1320240808020002,5,0,-5
1320240906020002,7,6,-1
1320240914020012,7,6,-1
1320241113010011,7,6,-1
1320241113020011,7,6,-1
1320241124020003,7,6,-1
1320241130010011,7,6,-1
1320241213020009,7,6,-1
1320241213030011,7,6,-1
1320250104010003,7,5,-2
1320250124020012,7,4,-3
1320250124030010,7,6,-1
1320250201010002,7,6,-1
1320250201010004,7,6,-1
1320250201010007,7,5,-2
1320250201020003,7,5,-2
1320250201020007,7,4,-3
1320250404010004,7,6,-1
1320250428010003,7,6,-1
1320250428030005,7,6,-1
1320250516010005,7,5,-2
1320250516010009,7,6,-1
1320250516020011,7,6,-1
1320250516030007,7,6,-1
1320250629010006,7,6,-1
1320250629010007,7,5,-2
1320250629020004,7,6,-1
1320250629020007,7,5,-2
1320250629030009,7,6,-1
1320250704020009,7,6,-1
1320250704030007,7,5,-2
1320250704030009,7,5,-2
1320250804010008,7,5,-2
1320250804030001,6,5,-1
1320250830010005,7,6,-1
1320250924010002,7,6,-1
1320250924030005,7,6,-1
1320251015020005,7,6,-1
1320251015030002,7,5,-2
1320251114030003,7,5,-2
1320251114030006,7,6,-1
1320251124010007,7,6,-1
1320251124020004,7,6,-1
1320251124020005,7,6,-1
1320251124030001,6,5,-1
1320251130010006,7,6,-1
1320251130020003,7,6,-1
1320251206020002,7,6,-1
1320260103010002,7,6,-1
1320260122010008,9,8,-1
1320260122010012,9,8,-1
1320260122020010,9,8,-1
1320260122030007,9,8,-1
1320260122040010,9,8,-1
1320260309010011,7,4,-3
1320260309030005,7,6,-1
1320260319020009,7,5,-2
1320260404010006,7,5,-2
1320260510010003,7,4,-3
1320260510020008,7,6,-1
1320260510030007,7,5,-2
1320260608020005,7,6,-1
1320260608020007,6,5,-1
1320260608030007,6,5,-1
2120230607010004,7,5,-2
2120230607010009,7,6,-1
2120230607030002,7,6,-1
2120230619010003,7,6,-1
2120230619020002,7,4,-3
2120230619030004,7,5,-2
2120230703020005,7,6,-1
2120230716010002,7,6,-1
2120230716010004,7,5,-2
2120230716020006,7,6,-1
2120230722020002,7,6,-1
2120230722020005,7,6,-1
2120230801020008,7,5,-2
2120230801030006,7,6,-1
2120230825020007,7,5,-2
2120230825020010,7,6,-1
2120230903010002,7,6,-1
2120230903020001,6,3,-3
2120230903020002,7,6,-1
2120230916010001,7,6,-1
2120230916020011,7,6,-1
2120230921030012,7,5,-2
2120230928010009,7,5,-2
2120230928020008,7,6,-1
2120231006020006,7,4,-3
2120231006030004,7,5,-2
2120231019010002,9,7,-2
