race_id,combination,payout,popularity,result_top3,top3_match
4420230508030002,2-7-4,26330,112,2-7-4-6,False
4420230519020001,5-1-2,1810,12,5-1-2-6,False
4420230610010006,7-1-5,1100,6,7-1-5-6,False
4420230610010008,5-3-2,8490,52,5-3-2-6,False
4420240401030001,4-6-1,8270,53,4-6-1-7,False
4420240617030005,7-5-1,510,1,7-5-1-3,False
4420250214020006,7-5-3,13150,97,7-5-3-4,False
4420250329030011,3-5-2,3320,21,3-5-2-4,False
4420260105020001,1-2-3,360,3,1-2-3-4,False
4420260625020004,6-4-1,8210,38,6-4-1-2,False
4520230804020002,5-3-2,420,4,5-3-2-4,False
4520230824030001,2-1-5,270,1,,False
4520230824030002,1-5-6,8430,33,2-1-5,False
4520230824030003,2-1-7,31330,101,1-5-6,False
4520230824030004,1-2-7,2400,5,2-1-7,False
4520230824030005,3-1-4,6950,27,1-2-7,False
4520230824030006,3-2-4,1600,5,3-1-4,False
4520250401020008,5-2-1,21820,83,5-2-1-7,False
4520250929020002,1-6-2,1810,16,1-6-2-5,False
4520251028020002,1-5-2,2650,18,1-5-2-3,False
4520260415030011,4-7-1,1040,6,4-7-1-6,False
4620240607030009,5-1-4,3150,16,5-1-4-7,False
4620250619020001,5-1-2,1780,7,4-3,False
4620250619020002,3-7-1,930,4,5-1-2,False
4620250619020003,2-5-7,4070,8,3-7-1,False
4620250619020004,6-5-4,440,1,2-5-7,False
4620250619020005,4-1-2,820,3,6-5-4,False
4620250619020006,4-7-1,33590,74,4-1-2,False
4620250619020007,4-1-6,420,1,4-7-1,False
4620250619020008,5-3-2,2600,7,4-1-6,False
4620250619020009,1-7-5,1970,8,5-3-2,False
4620250619020010,6-4-2,2130,7,1-7-5,False
4720240113020004,5-2-4,9740,60,5-2-4-7,False
4720240122030004,2-1-3,1000,5,2-1-3-6,False
4720240526020009,2-3-1,1760,11,2-3-1-6,False
4720240917010012,7-5-3,8590,76,7-5-3-6,False
4720251010020010,2-4-8,5460,44,2-4-8-9,False
4720260201010012,2-7-1,12440,88,2-7-1-3,False
4820231224010009,5-1-2,630,5,5-1-2-4,False
4820240220010006,1-5-2,59760,62,1-5-2-7,False
5120250508010006,1-5-7,190,1,,False
5120250514030001,7-2-1,2390,16,7-2-1-5,False
5120250912010004,1-4-7,1020,1,,False
5120250912010005,1-5-7,1920,5,1-4-7,False
5120250912010006,4-2-5,408650,313,1-5-7,False
5120250912010007,3-8-5,32920,86,4-2-5,False
5120250912010008,8-2-1,8140,27,3-8-5,False
5120250912010009,4-9-1,29520,82,8-2-1,False
5120250912010010,1-9-5,1820,3,4-9-1,False
5120250912010011,5-1-2,1170,1,1-9-5,False
5320240713020004,3-7-1,490,2,,False
5320240713020005,1-6-2,1950,5,3-7-1,False
5320240713020006,2-5-6,1750,5,1-6-2,False
5320240713020007,6-3-7,35150,101,2-5-6,False
5320240713020008,1-5-6,2760,9,6-3-7,False
5320240713020009,5-1-4,24770,67,1-5-6,False
5320240713020010,4-1-3,21850,50,5-1-4,False
5320240713020011,7-1-4,460,2,4-1-3,False
5420230422020004,4-5-1,1510,6,4-5-1-6,False
5420240304030004,5-4-2,4150,25,5-4-2-3,False
5520230112010012,1-5-2,660,3,1-5-2-9,False
5520230123030109,3-2-1,22740,75,3-2-1-5,False
5520230528020012,5-1-2,1300,9,5-1-2-7,False
5520230810040003,7-5-9,14420,48,4-3,False
5520230810040004,2-4-9,10280,30,7-5-9,False
5520230810040005,5-3-8,1540,1,2-4-9,False
