rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top5_by_ticket_score,6,11,1.8333333333333333,1100,10150,9050,9.227272727272727,0.0,1,0.09090909090909091,0.16666666666666666,0.6401538153075532,0.6008296139959429,0.630557356024901,0.6040576486343956,115.4,108.2,7285.163225851013,10150,1.0,2026-01
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top5_by_ticket_score,6,7,1.1666666666666667,700,0,-700,0.0,0.0,0,0.0,0.0,0.6475409763480642,0.6063488705134462,0.607764657188271,0.6004811098939222,106.55714285714285,106.6,6475.122639768488,0,0.0,2026-02
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top5_by_ticket_score,12,14,1.1666666666666667,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.6569177676385387,0.6025417439580122,0.6256662584681776,0.6003461453158497,119.23571428571428,105.55,7455.178737575724,0,0.0,2026-03
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top5_by_ticket_score,5,9,1.8,900,0,-900,0.0,0.0,0,0.0,0.0,0.6804342082129491,0.6278862230292968,0.6274823501160154,0.6006145574581738,108.16666666666667,102.8,6776.837831608115,0,0.0,2026-04
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top5_by_ticket_score,7,7,1.0,700,0,-700,0.0,0.0,0,0.0,0.0,0.6844584477152311,0.6197324072967954,0.6249174803805538,0.604088241073348,109.39999999999999,105.2,6844.751150237534,0,0.0,2026-05
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top5_by_ticket_score,6,8,1.3333333333333333,800,0,-800,0.0,0.0,0,0.0,0.0,0.6579007320056736,0.6021515138101267,0.6132169197068686,0.6076030197627857,103.82500000000002,100.85,6366.69079277588,0,0.0,2026-06
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top10_by_ticket_score,6,11,1.8333333333333333,1100,10150,9050,9.227272727272727,0.0,1,0.09090909090909091,0.16666666666666666,0.6401538153075532,0.6008296139959429,0.630557356024901,0.6040576486343956,115.4,108.2,7285.163225851013,10150,1.0,2026-01
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top10_by_ticket_score,6,7,1.1666666666666667,700,0,-700,0.0,0.0,0,0.0,0.0,0.6475409763480642,0.6063488705134462,0.607764657188271,0.6004811098939222,106.55714285714285,106.6,6475.122639768488,0,0.0,2026-02
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top10_by_ticket_score,12,14,1.1666666666666667,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.6569177676385387,0.6025417439580122,0.6256662584681776,0.6003461453158497,119.23571428571428,105.55,7455.178737575724,0,0.0,2026-03
odds_100_1000_race>=0.6_score>=0.6_expected>=5000_top10_by_ticket_score,5,9,1.8,900,0,-900,0.0,0.0,0,0.0,0.0,0.6804342082129491,0.6278862230292968,0.6274823501160154,0.6006145574581738,108.16666666666667,102.8,6776.837831608115,0,0.0,2026-04
