race_date,race_id,tickets,ret,hits,rule,bet,profit,cum_profit
2026-01-25,1320260122040011,2,0.0,0,high_odds_v1_top2,200,-200.0,6400.0
2026-01-25,1320260122040012,2,0.0,0,high_odds_v1_top2,200,-200.0,6200.0
2026-01-29,7320260129010001,2,0.0,0,high_odds_v1_top2,200,-200.0,6000.0
2026-01-29,7320260129010002,2,0.0,0,high_odds_v1_top2,200,-200.0,5800.0
2026-01-29,7320260129010007,2,0.0,0,high_odds_v1_top2,200,-200.0,5600.0
2026-01-29,7320260129010008,2,0.0,0,high_odds_v1_top2,200,-200.0,5400.0
2026-01-29,7320260129010009,2,0.0,0,high_odds_v1_top2,200,-200.0,5200.0
2026-01-29,7320260129010012,2,0.0,0,high_odds_v1_top2,200,-200.0,5000.0
2026-01-30,7320260129020002,2,0.0,0,high_odds_v1_top2,200,-200.0,4800.0
2026-01-30,7320260129020007,2,0.0,0,high_odds_v1_top2,200,-200.0,4600.0
2026-01-31,7320260129030005,2,0.0,0,high_odds_v1_top2,200,-200.0,4400.0
2026-01-31,7320260129030006,2,0.0,0,high_odds_v1_top2,200,-200.0,4200.0
2026-01-31,7320260129030008,2,0.0,0,high_odds_v1_top2,200,-200.0,4000.0
2026-01-31,7320260129030009,2,0.0,0,high_odds_v1_top2,200,-200.0,3800.0
2026-01-31,7320260129030010,2,0.0,0,high_odds_v1_top2,200,-200.0,3600.0
2026-01-31,7320260129030011,2,0.0,0,high_odds_v1_top2,200,-200.0,3400.0
2026-02-01,7320260129040004,2,0.0,0,high_odds_v1_top2,200,-200.0,3200.0
2026-02-01,7320260129040007,2,0.0,0,high_odds_v1_top2,200,-200.0,3000.0
2026-02-01,7320260129040008,2,0.0,0,high_odds_v1_top2,200,-200.0,2800.0
2026-02-01,7320260129040012,2,0.0,0,high_odds_v1_top2,200,-200.0,2600.0
2026-02-02,3820260131030003,2,0.0,0,high_odds_v1_top2,200,-200.0,2400.0
2026-02-05,3120260204020009,2,0.0,0,high_odds_v1_top2,200,-200.0,2200.0
2026-02-05,5320260205010001,2,0.0,0,high_odds_v1_top2,200,-200.0,2000.0
2026-02-05,5320260205010002,2,0.0,0,high_odds_v1_top2,200,-200.0,1800.0
2026-02-05,5320260205010003,2,0.0,0,high_odds_v1_top2,200,-200.0,1600.0
2026-02-05,5320260205010004,2,0.0,0,high_odds_v1_top2,200,-200.0,1400.0
2026-02-05,5320260205010005,2,0.0,0,high_odds_v1_top2,200,-200.0,1200.0
2026-02-05,5320260205010006,2,0.0,0,high_odds_v1_top2,200,-200.0,1000.0
2026-02-05,5320260205010007,2,0.0,0,high_odds_v1_top2,200,-200.0,800.0
2026-02-05,5320260205010008,2,0.0,0,high_odds_v1_top2,200,-200.0,600.0
2026-02-05,5320260205010009,2,0.0,0,high_odds_v1_top2,200,-200.0,400.0
2026-02-05,5320260205010010,2,0.0,0,high_odds_v1_top2,200,-200.0,200.0
2026-02-05,5320260205010011,2,0.0,0,high_odds_v1_top2,200,-200.0,0.0
